,ticker,name,market_cap,sector,industry
257,BAC.DE,Verizon Communications Inc.,159145062150,Communication Services,Telecommunications Services
258,BLK,"BlackRock, Inc.",158046275550,Financial Services,Asset Management
259,0QZZ.L,"BlackRock, Inc.",157762846980,Financial Services,Financial - Diversified
260,BKNG,Booking Holdings Inc.,157702134863,Consumer Cyclical,Travel Services
261,SOBA.DE,AT&T Inc.,154663375950,Communication Services,Telecommunications Services
262,AICFX,American Funds Investment Co of America Cl F-1 Shs,153466109902,Financial Services,Asset Management
263,FCNTX,Fidelity Contrafund Fund,152996380659,Financial Services,Asset Management
264,C,Citigroup Inc.,152946108000,Financial Services,Banks - Diversified
265,AMAT,"Applied Materials, Inc.",151955673750,Technology,Semiconductors
266,0R2E.L,Union Pacific Corporation,151752189670,Industrials,General Transportation
267,PCE1.DE,Booking Holdings Inc.,151119532200,Consumer Cyclical,Travel Services
268,UNP,Union Pacific Corporation,150824616460,Industrials,Railroads
269,SYK,Stryker Corporation,150317280960,Healthcare,Medical - Devices
270,BSX,Boston Scientific Corporation,150242230200,Healthcare,Medical - Devices
271,0HOY.L,Boston Scientific Corporation,149947464200,Healthcare,Medical - Equipment & Services
272,NEE,"NextEra Energy, Inc.",149767612000,Utilities,Regulated Electric
273,0K80.L,"NextEra Energy, Inc.",149704891800,Utilities,General Utilities
274,0R2S.L,Stryker Corporation,149463357120,Healthcare,Medical - Equipment & Services
275,LOW,"Lowe's Companies, Inc.",148051230000,Consumer Cyclical,Home Improvement
276,0JVQ.L,"Lowe's Companies, Inc.",148051229880,Consumer Cyclical,Specialty Retail
277,AMGN,Amgen Inc.,148047338860,Healthcare,Drug Manufacturers - General
278,PFE,Pfizer Inc.,147851769100,Healthcare,Drug Manufacturers - General
279,KKR,KKR & Co. Inc.,147028546370,Financial Services,Asset Management
280,TRVC.DE,Citigroup Inc.,146338716000,Financial Services,Banks - Diversified
281,0L3I.L,The Charles Schwab Corporation,146216865600,Financial Services,Financial - Diversified
